"동별(1)",동별(2),동별(3),2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",중랑구,면목2동,12163,23667,11679,11988,23264,11525,11739,403,154,249
"합계",중랑구,면목4동,8917,18264,9045,9219,17915,8900,9015,349,145,204
"합계",중랑구,면목5동,6362,14417,7097,7320,14251,7039,7212,166,58,108
"합계",중랑구,면목7동,10538,21386,10567,10819,20988,10421,10567,398,146,252
"합계",중랑구,상봉1동,10073,22983,11145,11838,22826,11086,11740,157,59,98
"합계",중랑구,상봉2동,13071,21325,9977,11348,20786,9763,11023,539,214,325
"합계",중랑구,중화1동,8854,18581,9140,9441,18325,9043,9282,256,97,159
"합계",중랑구,중화2동,13414,24003,12221,11782,23456,11990,11466,547,231,316
"합계",중랑구,묵1동,14919,33624,15971,17653,33383,15877,17506,241,94,147
"합계",중랑구,묵2동,9203,18300,8939,9361,17976,8808,9168,324,131,193
"합계",중랑구,망우3동,8162,15904,7911,7993,15402,7708,7694,502,203,299
"합계",중랑구,신내1동,14735,37358,17941,19417,37172,17864,19308,186,77,109
"합계",중랑구,신내2동,8867,19428,9138,10290,19342,9118,10224,86,20,66
"합계",중랑구,면목본동,17792,33206,16239,16967,32366,15892,16474,840,347,493
"합계",중랑구,면목3.8동,12738,24450,11999,12451,23947,11786,12161,503,213,290
"합계",중랑구,망우본동,18829,38635,18963,19672,38142,18771,19371,493,192,301
"합계",성북구,소계,196744,435838,207327,228511,422141,202309,219832,13697,5018,8679
"합계",성북구,돈암1동,6005,14167,6614,7553,14053,6564,7489,114,50,64
"합계",성북구,돈암2동,8538,23390,11061,12329,23267,11002,12265,123,59,64
"합계",성북구,안암동,10129,18006,8608,9398,15280,7726,7554,2726,882,1844
"합계",성북구,보문동,8120,16485,7885,8600,16028,7705,8323,457,180,277
"합계",성북구,정릉1동,7300,17890,8527,9363,17649,8442,9207,241,85,156
"합계",성북구,정릉2동,9787,22445,10717,11728,22164,10624,11540,281,93,188
"합계",성북구,정릉3동,8061,16120,7867,8253,14356,7083,7273,1764,784,980
"합계",성북구,정릉4동,10787,24497,11566,12931,23885,11412,12473,612,154,458
"합계",성북구,길음1동,12797,35682,16867,18815,35521,16807,18714,161,60,101
"합계",성북구,길음2동,8476,21518,10279,11239,21397,10221,11176,121,58,63
"합계",성북구,월곡1동,10701,25484,12235,13249,25232,12143,13089,252,92,160
"합계",성북구,월곡2동,9604,19460,9160,10300,18723,8870,9853,737,290,447
"합계",성북구,장위1동,10587,23313,11316,11997,23069,11215,11854,244,101,143
"합계",성북구,장위2동,6549,13122,6400,6722,12837,6276,6561,285,124,161
"합계",성북구,장위3동,6418,15536,7577,7959,15400,7520,7880,136,57,79
"합계",성북구,성북동,8102,16430,7666,8764,15861,7420,8441,569,246,323
"합계",성북구,삼선동,11443,22601,10607,11994,21940,10418,11522,661,189,472
"합계",성북구,동선동,9768,16045,6398,9647,14963,6112,8851,1082,286,796
"합계",성북구,종암동,16951,39231,19091,20140,37081,18300,18781,2150,791,1359
"합계",성북구,석관동,16621,34416,16886,17530,33435,16449,16986,981,437,544
"합계",강북구,소계,143105,289599,138898,150701,283934,136992,146942,5665,1906,3759
"합계",강북구,번1동,9645,17019,8319,8700,16243,8041,8202,776,278,498
"합계",강북구,번2동,7425,14744,7030,7714,14621,6987,7634,123,43,80
"합계",강북구,번3동,7629,16118,7454,8664,16050,7437,8613,68,17,51
"합계",강북구,수유1동,10474,20048,9696,10352,19617,9579,10038,431,117,314
"합계",강북구,수유2동,9710,20419,9650,10769,20195,9577,10618,224,73,151
"합계",강북구,수유3동,13619,23892,11487,12405,22749,11139,11610,1143,348,795
"합계",강북구,삼양동,11409,24056,11844,12212,23821,11759,12062,235,85,150
"합계",강북구,미아동,11726,21384,10094,11290,20566,9817,10749,818,277,541
"합계",강북구,송중동,13689,28671,13621,15050,27930,13343,14587,741,278,463
"합계",강북구,송천동,12534,24085,11890,12195,23629,11703,11926,456,187,269
"합계",강북구,삼각산동,11514,30381,14592,15789,30267,14549,15718,114,43,71
"합계",강북구,우이동,9621,19853,9419,10434,19642,9351,10291,211,68,143
