"제주특별자치도","강력범죄(살인미수 등)",5,5,6
"제주특별자치도","강력범죄(강도)",16,16,32
"제주특별자치도","강력범죄(강간)",112,108,111
"제주특별자치도","강력범죄(유사강간)",13,13,13
"제주특별자치도","강력범죄 (강제추행)",286,269,264
"제주특별자치도","강력범죄 (기타 강간 등)",8,8,8
"제주특별자치도","강력범죄 (방화)",17,15,15
"제주특별자치도","절도범죄",3268,2140,1967
"제주특별자치도","폭력범죄",5097,4453,5248
"제주특별자치도","기타범죄",18009,13805,14365
"해양경비 안전본부","총범죄",52471,51056,5241
"해양경비 안전본부","강력범죄 소계",18,18,20
"해양경비 안전본부","강력범죄 (살인기수)",2,2,2
"해양경비 안전본부","강력범죄(살인미수 등)",3,3,2
"해양경비 안전본부","강력범죄(강도)",1,1,1
"해양경비 안전본부","강력범죄(강간)",1,1,1
"해양경비 안전본부","강력범죄 (강제추행)",11,11,13
"해양경비 안전본부","강력범죄 (방화)",-,-,1
"해양경비 안전본부","절도범죄",144,122,141
"해양경비 안전본부","폭력범죄",214,188,225
"해양경비 안전본부","기타범죄",52095,50728,4855
